,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
66,o117aVZldlo,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",2123,88,0,0
67,fcpCTgeiBew,"['Punjab NEws', 'Punjab news live', 'Punjabi News Channel', 'Breaking News', 'news update today', 'India News', 'punjabi videos', 'punjab news lockdown', 'Pinda vale jatt', 'punjab news live today', 'News in punjabi', 'news live today', 'America Donkey', 'america donkey way', 'mexico to america donkey', 'mexico to america border crossing', 'america border crossing punjabi', 'india to america donkey map', 'america illegal entry punjabi', 'america survival live', 'punjabi in america', 'punjabi arrested in America']",2188813,54670,0,1556
68,iJS4RE5GbE8,"['usa donkey', 'usa donkey 2022', 'usa donkey new video', 'usa donkey full details', 'donkey usa', 'America donkey', 'donkey America', 'usa donkey border crossing', 'usa border crossing punjabi', 'Mexico to usa border crossing', 'Mexico border crossing to usa', 'Mexico border crossing entr usa', 'Mexico to America border crossing', 'short video', 'shorts', 'Panama jungle donkey', 'serbia to Austria donkey', 'France to England donkey']",6012,,0,2
69,xnlfcW5JUpE,"['usa donkey', 'america donkey', 'gaurav maan', 'gaurav maan haryana']",559,29,0,0
70,WO9l0Ib_M1Y,,746,65,0,34
71,lUX8hk9lTqU,"['#usa', '#america', '#us', '#donkey', '#us donkey', '#America donkey', 'USA donkey', '##usa donkey', '#india', '#panamajagal', 'Jagal Panama']",7619,385,0,96
72,SCA9EeJLxr4,,2459,109,0,2
73,hpGdwVJtT_4,,43219,803,0,49
74,mJkBArCpz4o,"['USA ki Donkey', 'America ki Donkey', 'america ki donkey kaise lagti hai', 'america ki donkey rasta', 'usa ki donkey information punjabi', 'usa ki donkey 2020', 'us Mexico border donkey', 'america donkey', 'MEXICO USA BORDER', 'AMERICA KI DONKEY', 'MEXICO TO USA', 'America 2 no donkey', 'donkey information in punjabi', 'Usa donkey information new', 'Pakistan Se America Janay Ka Rasta', 'PAKISTANI TO USA KI DONKEY', 'Mexico to usa boder crossing', 'Punjabi in usa', 'mexico ki donkey', 'teach visa punjabi']",4521,94,0,10
75,OhbRJ7Q3qaw,"['usa donkey', 'usa donkey 2022', 'usa donkey border crossing', 'usa donkey update', 'donkey usa', 'America donkey', 'donkey America', 'America Border', 'usa border crossing punjabi', 'usa border', 'Mexico to usa border crossing', 'Mexico Border crossing to usa', 'Mexico Border crossing entr usa', 'Panama jungle', 'Panama to usa donkey', 'usa border camp', 'Serbia donkey', 'Italy donkey', 'England donkey', 'shorts', 'short video', 'yt shorts']",351768,11171,0,23
76,9VD1UB3Jinw,,19927,1117,0,12
77,rMaiHBXCWSk,"['usa donkey', 'usa ki donkey', 'america donkey', 'india to usa', 'australia ki donkey', 'donkey kaise lagaye', 'donkey flight', 'india to usa donkey', 'india to america donkey map', 'mexico to america donkey', 'america donkey way', 'donkey america', 'american donkey punjabi', 'donkey america punjabi', 'donkey new video', 'USA ki donkey story', 'ਕਿਵੇਂ ਲੱਗਦੀ ਹੈ America', 'donkey to USA']",3215,122,0,12
78,C8f-6vT9SFw,,300,11,0,0
79,evEh3Pjmcmg,"['America Donkey 2021', 'Donkey USA illegal', 'Donkey flight rampant in Punjab', 'Illegal way to go USA from India', 'India to USA donkey map', 'Mexico donkey', 'Mexico to America border crossing Punjabi', 'Mexico to USA donkey', 'Panama jungle', 'USA Donkey in Hindi', 'USA Donkey price', 'USA donkey 2022', 'USA donkey Panama jungle', 'USA donkey agent number', 'USA donkey map', 'What is donkey flight', 'donkey America', 'donkey in America', 'india to usa donkey route', 'usa donkey', 'vinu lifestyle']",429,8,0,7
80,HZlGk9N0B7M,"['Canada Donkey information 2022', 'Canada Donkey', 'canada donkey punjabi', 'Canada ki Donkey', 'CANADA DONKEY FLIGHT', 'us donkey', 'teachvisa punjabi', 'usa ki donkey', 'america ki donkey', 'donkey flight in punjabi', 'donkey flight canada', 'donkey flight usa', 'donkey flight 2022', 'donkey flight', 'donkey canada', 'canada ki donkey information punjabi', 'punjab to canada', 'usa donkey', 'teach visa punjabi', 'usa ki donkey information punjabi', 'canada ki donkey 2022', 'u.s.-canada ki donkey']",6462,222,0,21
81,r8uCCM5eZ_s,"['usa donkey', 'usa visa', 'mexico border crossing', 'us entry', 'usa entry donkey', 'usa donkey 2022', 'usa donkey status', 'usa donkey interview', 'usa donkey movie', 'usa donkey ammy virk', 'usa donkey border', 'usa donkey border crossing punjabi', 'usa donkey border crossing 2022', 'usa donkey by flight', 'usa donkey deport', 'usa donkey documentary', 'usa donkey panama jungle entry', 'usa donkey full information', 'usa donkey full story', 'usa donkey border crossing in hindi', 'mk vlogs', 'mann singh']",7063,125,0,8
82,fKGdHNFbcjI,,5568,128,0,5
83,4bzAzTBq61c,,325,22,0,3
84,JA9Nc2wGZCY,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",1097,32,0,0
85,akgFnJamq0k,"['shorts', 'short', 'funny', 'funny shorts', 'funny video', 'funny videos', 'tredning funny video', 'youtube shorts', 'yt shorts', 'comedy shorts', 'new shorts', 'best shorts', 'shorts 2022', 'viral shorts', 'animals shorts', 'trending shorts', 'funny videos 2022', 'funny japanese guy', 'funny compilation', 'luke davidson shorts', 'luke davidson youtube shorts', 'luke davidson shorts 2022', 'funny kids', 'funny fails', 'funny babies', 'funny moment', 'luke davidson shorts compilation', 'funny animals', 'funnyshorts']",40,8,0,2
86,ISr5DsbUBY0,"['usa illegal entry', 'usa illegal indian', 'donkey usa illegal', 'usa punjabi illegal', 'india to usa illegal', 'enter usa illegally', 'illegal entry in canada', 'illegal entry in portugal', 'illegal entry in europe', 'illegal entry in usa hindi', 'canada to usa illegal entry', 'illegal crossing from canada to usa', 'usa immigration', 'canada immigration', 'latest immigration updates', 'usa donkey', 'usa visa', 'mexico border crossing', 'mk vlogs', 'mann singh']",32711,813,0,44
87,6VQRbWXzoMk,,2605,70,0,3
88,Eph5LLpu1y0,"['India To USA', 'India to usa Donkey', 'USA Border punjabi', 'America Donkey', 'Donkey America', 'usa Donkey', 'usa camp', 'Panama to usa Donkey', 'Panama jungle Donkey', 'USA Border crossing punjabi munde', 'usa Donkey 2022', 'today Mexico Border crossing enter usa', 'America Donkey 2022', 'America Donkey new video', 'usa Donkey new video 2022']",165,4,0,0
89,9ifKqxI_KaY,"['amrika donkey', 'mexico donkey', 'usa visa', 'usa donkey', 'usa donkey punjabi', 'usa donkey 2022', 'usa donkey map', 'india to usa donkey route', 'usa donkey in hindi', 'mexico to usa donkey map', 'donkey flight', 'usa punjabi donkey', 'serbia to italy donkey', 'american donkey punjabi', 'donkey america punjabi', 'us donkey flight', 'us ki donkey', 'brazil ki donkey', 'usa jana', 'donkey new video', 'america donkey', 'donkey america', 'usa ki donkey', 'how to enter in usa from mexico', 'mexico to amrika donkey']",5501,275,0,0
90,Fes9V3SA4jI,,483460,12525,0,173
