,videoId,tags,viewCount,likeCount,favoriteCount,commentCount
120,cL75CTeftro,"['USA lifestyle', 'USA donkey', 'Border cross', 'USA border cross', 'Donkey USA', 'Indian in USA', 'Ashu ror', 'Kholti khota sikka', 'Donkey update', '2022 update', 'New update', 'Viral video', '2023 donkey update', '2 number wale', 'Ankush ror video', 'Ankush ror', 'America donkey', 'What happens in prison after crossing the US border', 'donkey amrica']",85286,2124,0,207
121,hdZ8k3TSkFc,,3160,156,0,1
122,hSyMHx3zdis,,209282,7831,0,63
123,Ofet5tixK8o,,60181,2334,0,179
124,tpCbeX7CbgM,"['usa donkey', 'America donkey video', 'Usa donkey kaise lgaye', 'Usa donkey latest video', 'technical gill', 'donkey update 2.0', 'usa donkey story', 'Usa donkey real story', 'maxico to usa border', 'Maxico to usa border crossing video', 'Maxico to usa donkey', 'Texas border crossing video', 'donkey video 2022', 'December donkey video']",2689,56,0,6
125,8yVv6XYtUTE,,8073,376,0,52
126,6rwoEhPotPs,,135,,0,0
127,I51jYnXBUtM,,240,79,0,0
128,qsaHAQQYbFA,,2460,161,0,40
129,Djx_IuxsokI,,18895643,194865,0,
130,ozIc_kagCCw,,27690,1509,0,71
131,X6YPd9OjytM,"['Mr beats', 'Mr beast india', 'Mr beats india', 'Usa donkey', 'India to Mexico', 'Europe to Mexico', 'Uk to Mexico', 'Panama donkey', 'Beast', 'New blog']",77042,1738,0,82
132,IHfD7ipKmF4,['#InShot'],9624,293,0,40
133,OxV0TPgkUVw,,4692,,0,35
134,tDCs-XTD7_c,,350,13,0,0
135,-FE0yYjH7PE,,101,11,0,2
136,PBJtEbW8UzQ,,475,15,0,1
